hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
17,113.11764705882354,196,15,3602.221453287198,0.8732,0.36614538646406597,361275.0
15,136.86666666666667,199,63,1686.7822222222223,0.9032,0.5207353413105011,408178.0
7,71.85714285714286,145,15,2345.2653061224487,0.9124,0.1547762636638557,137180.0
5,140.0,196,101,1400.8,0.9475,0.22183417574399047,215504.0
14,107.21428571428571,184,14,2575.168367346939,0.874,0.3591790922193064,270882.0
14,126.5,188,58,2010.9642857142858,0.854,0.41844602218932575,334368.0
10,101.6,159,47,1490.44,0.9328,0.21142778929529918,201422.0
5,76.0,98,59,229.2,0.9268,0.13945540317541194,92299.0
7,119.0,179,34,2462.285714285714,0.9337,0.13310775973109734,140870.0
14,101.71428571428571,165,50,1302.7755102040815,0.8365,0.2944979377090931,167464.0
16,102.25,196,31,2971.5625,0.8496,0.24983362555503846,298680.0
15,119.06666666666666,199,27,3112.195555555556,0.8763,0.1491409921190805,357875.0
11,132.0,186,44,1862.5454545454545,0.9257,0.2775981381121609,298408.0
3,179.66666666666666,197,148,502.8888888888889,0.9514,0.13771338505256508,184932.0
19,106.21052631578948,189,17,2982.587257617729,0.89,0.5084971881575054,307372.0
19,126.52631578947368,197,44,1984.9861495844877,0.8976,0.4435210441549619,370599.0
19,95.47368421052632,193,14,3131.1966759002776,0.8931,0.3017425106631385,308977.0
9,163.33333333333334,199,115,822.2222222222222,0.9294,0.3637634329497814,331172.0
11,96.18181818181819,188,12,3652.5123966942147,0.833,0.42018615330259007,229378.0
16,86.625,177,11,3758.359375,0.8385,0.5039302342467837,137851.0
4,127.75,178,78,1628.1875,0.9464,0.17759817315058576,108322.0
15,91.46666666666667,177,24,1835.848888888889,0.8482,0.30458067717651527,209034.0
11,132.72727272727272,191,57,1753.834710743802,0.8886,0.23543721367087628,258469.0
9,104.11111111111111,192,11,3874.320987654321,0.8069,0.3717948489718967,99652.0
4,141.75,180,99,825.6875,0.9567,0.11939711915329099,195460.0
5,73.4,164,19,3318.6399999999994,0.9239,0.10793862135873901,50953.0
6,78.0,116,20,1223.0,0.9192,0.09051562929525972,106754.0
13,128.92307692307693,198,13,2863.6094674556207,0.8074,0.27025004991123247,231023.0
15,122.93333333333334,198,21,3343.1288888888885,0.8974,0.17835802317778063,342947.0
20,117.3,200,20,3496.109999999999,0.8584,0.4671036331190003,305504.0
18,99.33333333333333,196,14,2560.8888888888887,0.8872,0.40561432699776356,284719.0
18,103.05555555555556,190,11,3049.719135802469,0.8944,0.25906272580226264,306051.0
10,79.7,145,23,1827.4099999999999,0.9103,0.22008525018269817,114714.0
10,86.6,192,14,3823.04,0.8929,0.2875579194890128,173680.0
10,133.1,185,41,1870.2900000000002,0.9384,0.18588668439899467,289503.0
16,118.6875,194,10,2274.58984375,0.8591,0.1798603166774329,304802.0
7,117.85714285714286,197,38,4012.1224489795923,0.9457,0.15843930624994554,200311.0
8,111.5,187,41,1850.0,0.9413,0.17121027723575633,221228.0
20,108.15,188,30,2930.1275,0.7254,0.45234570817814934,252679.0
20,141.1,200,23,3267.7900000000004,0.8985,0.43654243279662397,522266.0
14,96.85714285714286,196,18,3728.5510204081625,0.8515,0.5887936797406939,282385.0
5,96.6,173,44,1974.6399999999999,0.9447,0.08333148239051096,171136.0
17,122.0,194,24,3028.3529411764707,0.8986,0.30010245856311585,379486.0
17,122.88235294117646,198,35,3136.6920415224918,0.8605,0.5326946165826586,271644.0
16,90.9375,168,31,1985.68359375,0.9746,0.16269337525461905,245463.0
5,103.2,198,16,4173.76,0.9656,0.04214020863097782,74336.0
7,52.714285714285715,118,14,1483.3469387755101,0.9567,0.0920102134346962,42595.0
13,113.84615384615384,188,57,1795.976331360947,0.9699,0.08031918878485966,210008.0
5,81.2,108,16,1224.56,0.9715,0.025066732624933745,104268.0
18,100.55555555555556,173,21,1668.6913580246915,0.9458,0.038397729487850384,278189.0
7,104.28571428571429,183,17,4720.489795918367,0.97,0.04892749532785577,82683.0
4,93.0,130,45,1123.5,0.9756,0.042224945253433864,92898.0
19,108.78947368421052,185,51,2014.4819944598337,0.9248,0.0757314627809036,288823.0
7,93.28571428571429,161,29,2205.6326530612246,0.9658,0.04999429658508032,71130.0
12,108.91666666666667,167,37,1834.7430555555557,0.9747,0.03192252543248186,251326.0
16,81.0625,180,10,2714.55859375,0.9586,0.038564519004123415,117873.0
12,117.75,193,39,2021.5208333333333,0.9744,0.07431945210812248,254385.0
6,118.5,177,55,1888.9166666666667,0.9778,0.02996396662880822,199637.0
20,98.85,192,15,2411.8275,0.9432,0.16788975172158743,204850.0
5,116.4,176,18,4299.4400000000005,0.9696,0.04267395836262343,82807.0
16,87.875,170,15,2741.984375,0.965,0.031226424993817798,177315.0
19,122.78947368421052,198,36,2648.4819944598335,0.8947,0.12212287502156363,303363.0
14,82.07142857142857,168,10,2849.0663265306125,0.9744,0.17693201994989066,210896.0
11,100.36363636363636,189,21,2536.7768595041325,0.9756,0.16051436451606504,204129.0
18,84.66666666666667,192,11,1977.4444444444443,0.958,0.12240257336654597,153907.0
4,127.5,172,58,2001.25,0.9792,0.015168339669455438,181866.0
17,93.6470588235294,189,17,2526.81660899654,0.97,0.05260996425349731,215437.0
9,105.33333333333333,190,16,3003.5555555555557,0.9747,0.0698634190704777,207035.0
16,112.4375,198,16,4048.87109375,0.969,0.03348857672083088,317100.0
16,107.4375,188,16,2813.37109375,0.9659,0.03790183586760476,250498.0
17,80.17647058823529,185,10,3577.2041522491354,0.9604,0.23011597978572051,117543.0
20,111.15,196,24,2572.0275,0.1135,1.0000000794728596,310574.0
7,108.71428571428571,186,23,2602.7755102040815,0.976,0.025153915248908258,196897.0
11,69.9090909090909,177,13,2931.3553719008264,0.967,0.1281543065703267,97996.0
13,106.46153846153847,166,19,2163.0177514792904,0.972,0.4405430941118134,195478.0
4,119.5,150,52,1544.75,0.9783,0.019844717421155008,143476.0
4,117.25,197,37,3210.1875,0.9759,0.03366577092351185,125316.0
9,119.22222222222223,198,15,3150.8395061728393,0.9759,0.0436839392269677,266792.0
16,97.375,194,31,3059.234375,0.965,0.07155946239040026,181979.0
8,100.0,194,14,4574.5,0.9728,0.2691572680241532,182387.0
7,88.57142857142857,195,15,4708.244897959184,0.9687,0.04785947893267601,66560.0
13,108.15384615384616,200,18,3571.668639053255,0.9666,0.10858728788637867,195683.0
8,84.75,183,22,3953.9375,0.9763,0.06625255125012093,148805.0
20,108.75,197,16,3059.5875,0.1135,0.999999980131785,305540.0
17,97.29411764705883,188,17,3065.1487889273353,0.9651,0.022638008679627494,225389.0
10,131.0,197,27,3439.0,0.9773,0.02639828276134924,243460.0
8,93.875,154,12,2183.859375,0.9728,0.047504522513029064,143536.0
7,96.71428571428571,197,20,3789.0612244897957,0.9668,0.11991983172225042,73508.0
7,110.57142857142857,192,33,2910.530612244898,0.9741,0.014911334190401249,189001.0
14,78.07142857142857,199,10,2875.9234693877547,0.971,0.0899779272188122,122219.0
20,101.0,185,10,3345.4,0.1135,0.9999999867545234,209632.0
19,100.57894736842105,183,18,2728.0332409972298,0.8868,0.07514870819221768,322643.0
4,149.75,176,90,1211.1875,0.9789,0.012391849276193372,189320.0
14,94.14285714285714,180,17,3311.2653061224487,0.9674,0.41664002388715743,248020.0
